class,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
0,0.0894,0.1363,0.0469,0.0979,0.0799,-0.018,0.0819,0.1173,0.0354,0.1216,0.2461,0.1245,0.1071,0.3761,0.269,0.1126,0.1586,0.046,0.0633,0.1562,0.0929,0.0876,0.0985,0.0109,0.1031,0.1545,0.0514,0.0947,0.199,0.1043,0.0923
0,0.1063,0.1561,0.0498,0.0451,0.1037,0.0586,0.1024,0.0847,-0.0177,0.0438,0.1667,0.1229,0.0652,0.3825,0.3173,0.0464,0.2525,0.2061,0.0876,0.1001,0.0125,0.095,0.0831,-0.0119,0.103,0.0768,-0.0262,0.084,0.168,0.084,0.0971
0,0.0802,0.4019,0.3217,0.1213,0.1485,0.0272,0.0678,0.1812,0.1134,0.1282,0.2883,0.1601,0.1155,0.5597,0.4442,0.1103,0.1689,0.0586,0.0868,0.1626,0.0758,0.1438,0.2454,0.1016,0.0673,0.3985,0.3312,0.0594,0.4554,0.396,0.0689
1,0.1154,0.2386,0.1232,0.0755,0.1357,0.0602,0.0774,0.1228,0.0454,0.0668,0.2536,0.1868,0.0552,0.4242,0.369,0.0948,0.3831,0.2883,0.1119,0.1859,0.074,0.1154,0.1867,0.0713,0.0715,0.1625,0.091,0.099,0.3229,0.2239,0.0948
1,0.1322,0.2543,0.1221,0.0876,0.1523,0.0647,0.1022,0.1458,0.0436,0.0721,0.2381,0.166,0.0613,0.6414,0.5801,0.1381,0.2896,0.1515,0.108,0.1295,0.0215,0.1312,0.1835,0.0523,0.1124,0.2235,0.1111,0.1314,0.459,0.3276,0.0752
1,0.1051,0.8014,0.6963,0.1061,1.1991,1.093,0.08,0.2632,0.1832,0.0969,0.4283,0.3314,0.0618,0.3748,0.313,0.0824,0.2511,0.1687,0.0945,0.131,0.0365,0.0998,0.1455,0.0457,0.0961,0.2375,0.1414,0.1362,0.6296,0.4934,0.0874
1,0.1003,0.258,0.1577,0.0713,0.1463,0.075,0.075,0.1373,0.0623,0.07,0.2679,0.1979,0.0747,0.6477,0.573,0.1074,0.2204,0.113,0.0855,0.1254,0.0399,0.1148,0.1265,0.0117,0.0839,0.1612,0.0773,0.1051,0.2982,0.1931,0.0607
0,0.0501,0.2344,0.1843,0.0694,0.1989,0.1295,0.0496,0.0905,0.0409,0.1029,0.1736,0.0707,0.0728,0.3079,0.2351,0.1035,0.1979,0.0944,0.0588,0.1058,0.047,0.0733,0.1256,0.0523,0.0462,0.1274,0.0812,0.0641,0.2526,0.1885,0.0625
1,0.0715,0.1989,0.1274,0.0589,0.1405,0.0816,0.0591,0.1317,0.0726,0.0615,0.9265,0.865,0.0586,0.6818,0.6232,0.0813,0.5104,0.4291,0.0908,0.23,0.1392,0.109,0.164,0.055,0.0758,0.2064,0.1306,0.0739,0.9061,0.8322,0.0874
1,0.119,0.4364,0.3174,0.0668,0.2207,0.1539,0.0679,0.1706,0.1027,0.0671,1.2472,1.1801,0.0628,0.5933,0.5305,0.0892,0.2911,0.2019,0.0882,0.1052,0.017,0.1066,0.1455,0.0389,0.0781,0.1947,0.1166,0.0921,0.3292,0.2371,0.0702
1,0.0536,0.5079,0.4543,0.0639,0.1526,0.0887,0.0591,0.1557,0.0966,0.0663,0.2866,0.2203,0.057,0.5054,0.4484,0.0744,0.9028,0.8284,0.0839,0.1241,0.0402,0.099,0.1418,0.0428,0.0657,0.1884,0.1227,0.0697,1.5614,1.4917,0.1119
1,0.0919,0.257,0.1651,0.0689,0.1539,0.085,0.0515,0.1151,0.0636,0.0665,0.2306,0.1641,0.0565,0.3716,0.3151,0.0901,0.2337,0.1436,0.0787,0.1157,0.037,0.1415,0.1624,0.0209,0.0887,0.1961,0.1074,0.1029,0.3691,0.2662,0.0876
0,0.0573,0.1174,0.0601,0.0704,0.1327,0.0623,0.1016,0.0689,-0.0327,0.0797,0.1841,0.1044,0.1068,0.2635,0.1567,0.0958,0.1565,0.0607,0.0921,0.1157,0.0236,0.0575,0.0802,0.0227,0.0515,0.158,0.1065,0.1024,0.1226,0.0202,0.125
1,0.1059,0.2114,0.1055,0.0795,0.1888,0.1093,0.0507,0.1463,0.0956,0.0731,0.271,0.1979,0.0855,0.4742,0.3887,0.1077,0.1969,0.0892,0.0908,0.1482,0.0574,0.1412,0.1508,0.0096,0.0863,0.2198,0.1335,0.0879,0.3823,0.2944,0.065
0,0.0575,0.1197,0.0622,0.0486,0.1019,0.0533,0.0797,0.0525,-0.0272,0.0402,0.1639,0.1237,0.0261,0.4626,0.4365,0.0549,0.2288,0.1739,0.0628,0.0895,0.0267,0.1093,0.0204,-0.0889,0.1148,0.0926,-0.0222,0.0823,0.1872,0.1049,0.0588
1,0.057,0.3551,0.2981,0.0502,0.1605,0.1103,0.0647,0.1407,0.076,0.0694,0.2758,0.2064,0.0552,0.4073,0.3521,0.1008,0.3017,0.2009,0.0911,0.1297,0.0386,0.147,0.1653,0.0183,0.0721,0.1689,0.0968,0.0839,0.3144,0.2305,0.0676
0,0.1232,0.1194,-0.0038,0.1119,0.2377,0.1258,0.0936,0.095,0.0014,0.0731,0.2205,0.1474,0.0839,0.261,0.1771,0.1174,0.2158,0.0984,0.024,0.6061,0.5821,0.1182,0.1454,0.0272,0.0773,0.2049,0.1276,0.1018,0.2668,0.165,0.0847
0,0.0805,0.1857,0.1052,0.0882,0.1128,0.0246,0.0932,0.1336,0.0404,0.1019,0.2391,0.1372,0.0779,0.3413,0.2634,0.0773,0.1821,0.1048,0.081,0.1339,0.0529,0.0882,0.0869,-0.0013,0.0834,0.1285,0.0451,0.1045,0.2379,0.1334,0.0721
1,0.0697,0.2546,0.1849,0.0605,0.1476,0.0871,0.0734,0.127,0.0536,0.0771,0.2877,0.2106,0.0573,0.5836,0.5263,0.1043,0.3223,0.218,0.0855,0.1086,0.0231,0.1267,0.1508,0.0241,0.0781,0.1536,0.0755,0.0979,0.3094,0.2115,0.0763
1,0.0673,0.233,0.1657,0.0795,0.1421,0.0626,0.0644,0.1294,0.065,0.0684,0.6642,0.5958,0.0647,0.3894,0.3247,0.0888,0.2308,0.142,0.0898,0.1292,0.0394,0.1204,0.135,0.0146,0.1022,0.2035,0.1013,0.0911,0.3127,0.2216,0.0731
0,0.0884,0.1654,0.077,0.0779,0.1035,0.0256,0.0898,0.0684,-0.0214,0.0769,0.2107,0.1338,0.123,0.3274,0.2044,0.2157,0.3556,0.1399,0.0839,0.1175,0.0336,0.1386,0.122,-0.0166,0.1114,0.1404,0.029,0.0272,0.2464,0.2192,0.0985
0,0.0834,0.2017,0.1183,0.0939,0.5114,0.4175,0.0963,0.2023,0.106,0.1074,0.5546,0.4472,0.0992,0.4339,0.3347,0.1121,0.1472,0.0351,0.0847,0.2095,0.1248,0.0897,0.1393,0.0496,0.1171,0.2616,0.1445,0.1219,0.2426,0.1207,0.0926
1,0.0826,0.2913,0.2087,0.0626,0.1389,0.0763,0.0639,0.1112,0.0473,0.0689,0.246,0.1771,0.057,0.8347,0.7777,0.0906,0.2685,0.1779,0.085,0.1379,0.0529,0.1317,0.137,0.0053,0.0824,0.174,0.0916,0.1011,0.3198,0.2187,0.0702
1,0.0961,0.195,0.0989,0.07,0.1257,0.0557,0.0607,0.1333,0.0726,0.0771,0.2737,0.1966,0.0541,0.4751,0.421,0.1006,0.2758,0.1752,0.089,0.1216,0.0326,0.1132,0.1872,0.074,0.0808,0.1874,0.1066,0.0816,0.5446,0.463,0.0934
0,0.0927,0.1581,0.0654,0.043,0.1045,0.0615,0.0758,0.0832,0.0074,0.0597,0.4331,0.3734,0.0544,0.3416,0.2872,0.0742,0.175,0.1008,0.0689,0.0629,-0.006,0.0803,0.1031,0.0228,0.062,0.1662,0.1042,0.0668,0.2015,0.1347,0.0502
1,0.0919,0.2824,0.1905,0.0681,0.1304,0.0623,0.0763,0.1721,0.0958,0.0626,0.3563,0.2937,0.0623,0.463,0.4007,0.0898,0.2472,0.1574,0.0781,0.1101,0.032,0.1246,0.1416,0.017,0.104,0.1871,0.0831,0.0919,0.309,0.2171,0.0752
1,0.1124,0.2311,0.1187,0.0821,0.3743,0.2922,0.0789,0.593,0.5141,0.0721,1.0461,0.974,0.0618,0.368,0.3062,0.0854,0.2018,0.1164,0.0734,0.1031,0.0297,0.1056,0.1339,0.0283,0.0747,0.166,0.0913,0.1048,0.4509,0.3461,0.0876
0,0.0649,1.0582,0.9933,0.1451,0.1261,-0.019,0.085,0.2978,0.2128,0.0902,0.3544,0.2642,0.0728,0.528,0.4552,0.1596,0.4661,0.3065,0.1182,0.3567,0.2385,0.2292,0.3606,0.1314,0.0992,0.7825,0.6833,0.0789,0.4314,0.3525,0.1184
1,0.09,0.2739,0.1839,0.0671,0.1561,0.089,0.0642,0.1503,0.0861,0.0663,0.2998,0.2335,0.0655,0.41,0.3445,0.0927,0.3075,0.2148,0.0813,0.1186,0.0373,0.1518,0.1825,0.0307,0.0758,0.2019,0.1261,0.0642,0.2881,0.2239,0.0597
0,0.1111,0.1651,0.054,0.0931,0.0728,-0.0203,0.0768,0.1043,0.0275,0.1166,0.2622,0.1456,0.0963,0.4838,0.3875,0.1111,0.2037,0.0926,0.082,0.1172,0.0352,0.0976,0.1035,0.0059,0.0765,0.1158,0.0393,0.0876,0.1832,0.0956,0.1153
1,0.1085,0.2303,0.1218,0.065,0.1727,0.1077,0.0945,0.1423,0.0478,0.0708,0.2732,0.2024,0.0607,0.3244,0.2637,0.0744,0.3215,0.2471,0.1212,0.1392,0.018,0.1328,0.1608,0.028,0.0768,0.1668,0.09,0.0961,0.2897,0.1936,0.066
1,0.1143,0.299,0.1847,0.0744,0.2259,0.1515,0.0713,0.2524,0.1811,0.0816,0.3555,0.2739,0.0613,0.4303,0.369,0.1083,0.244,0.1357,0.0898,0.1208,0.031,0.1172,0.2067,0.0895,0.0942,0.1826,0.0884,0.0953,0.3702,0.2749,0.0832
0,0.0708,0.5505,0.4797,0.057,0.0966,0.0396,0.0663,0.1043,0.038,0.0515,0.4542,0.4027,0.056,0.4169,0.3609,0.0795,0.1782,0.0987,0.0755,0.5073,0.4318,0.0818,0.1262,0.0444,0.0618,0.2125,0.1507,0.0499,0.1934,0.1435,0.0557
1,0.1151,0.234,0.1189,0.066,0.1233,0.0573,0.0874,0.1341,0.0467,0.08,0.2924,0.2124,0.0568,0.5068,0.45,0.1143,0.2539,0.1396,0.0861,0.1947,0.1086,0.1309,0.241,0.1101,0.0763,0.2267,0.1504,0.0908,0.3258,0.235,0.0644
0,0.1029,0.0967,-0.0062,0.0979,0.1997,0.1018,0.0915,0.0992,0.0077,0.0457,0.2,0.1543,0.0786,0.2371,0.1585,0.0932,0.195,0.1018,0.0813,0.0755,-0.0058,0.0961,0.1468,0.0507,0.0791,0.1492,0.0701,0.0755,0.4968,0.4213,0.1084
1,0.0858,0.2784,0.1926,0.0697,0.1666,0.0969,0.0599,0.118,0.0581,0.0636,0.3518,0.2882,0.0552,0.3743,0.3191,0.1003,0.4133,0.313,0.0858,0.1959,0.1101,0.1225,0.1193,-0.0032,0.0774,0.2046,0.1272,0.0607,0.3147,0.254,0.061
0,0.0496,0.2265,0.1769,0.0691,0.1635,0.0944,0.0515,0.1378,0.0863,0.061,0.1778,0.1168,0.0541,0.3427,0.2886,0.1124,0.1633,0.0509,0.076,0.1212,0.0452,0.0927,0.085,-0.0077,0.0961,0.1591,0.063,0.066,0.2803,0.2143,0.0654
0,0.1183,0.2204,0.1021,0.0565,0.2035,0.147,0.0518,0.1357,0.0839,0.0591,0.7798,0.7207,0.0494,0.4437,0.3943,0.0473,0.2907,0.2434,0.0351,0.1186,0.0835,0.0681,0.0988,0.0307,0.0578,0.185,0.1272,0.0821,0.2245,0.1424,0.08
1,0.0945,0.1802,0.0857,0.1082,0.1584,0.0502,0.0942,0.1372,0.043,0.0726,0.9365,0.8639,0.0657,0.4566,0.3909,0.0951,0.2318,0.1367,0.0905,0.1041,0.0136,0.1293,0.1457,0.0164,0.0731,0.1531,0.08,0.1022,0.6644,0.5622,0.0731
1,0.0781,0.2649,0.1868,0.0618,0.1682,0.1064,0.0581,0.161,0.1029,0.0726,0.3085,0.2359,0.0594,0.4698,0.4104,0.0953,0.2468,0.1515,0.07,0.12,0.05,0.1373,0.1653,0.028,0.0636,0.1676,0.104,0.0977,0.3441,0.2464,0.0755
1,0.1103,0.3401,0.2298,0.0797,0.1921,0.1124,0.0887,0.1478,0.0591,0.0895,0.3014,0.2119,0.0697,0.5132,0.4435,0.0982,0.3851,0.2869,0.1188,0.234,0.1152,0.1198,0.1811,0.0613,0.0826,0.1731,0.0905,0.0987,0.272,0.1733,0.0752
1,0.0942,0.2163,0.1221,0.0686,0.1491,0.0805,0.0631,0.1341,0.071,0.0702,0.2858,0.2156,0.0615,0.6957,0.6342,0.1088,0.297,0.1882,0.0818,0.1426,0.0608,0.1106,0.1663,0.0557,0.0763,0.1863,0.11,0.0921,0.3691,0.277,0.0676
1,0.0927,0.3338,0.2411,0.0636,0.2162,0.1526,0.0702,0.1795,0.1093,0.0702,0.3251,0.2549,0.0626,0.3849,0.3223,0.0977,0.3054,0.2077,0.0565,0.1271,0.0706,0.1502,0.1928,0.0426,0.0774,0.231,0.1536,0.0489,0.2771,0.2282,0.0655
0,0.0673,0.2012,0.1339,0.0791,0.1184,0.0393,0.0752,0.1638,0.0886,0.0786,0.2906,0.212,0.1002,0.5017,0.4015,0.1564,0.2113,0.0549,0.0776,0.1423,0.0647,0.0936,0.1261,0.0325,0.0857,0.1896,0.1039,0.0839,0.1853,0.1014,0.0799
1,0.0911,0.1752,0.0841,0.0726,0.117,0.0444,0.0694,0.1256,0.0562,0.0789,0.2507,0.1718,0.0744,0.5273,0.4529,0.1061,0.2941,0.188,0.0908,0.1189,0.0281,0.1212,0.1366,0.0154,0.075,0.1473,0.0723,0.1048,0.3256,0.2208,0.0766
1,0.0803,0.1792,0.0989,0.0652,0.147,0.0818,0.0657,0.114,0.0483,0.0676,0.2207,0.1531,0.0589,0.3371,0.2782,0.0711,0.216,0.1449,0.0607,0.1291,0.0684,0.0993,0.1537,0.0544,0.0705,0.1489,0.0784,0.0776,0.2722,0.1946,0.0597
0,0.0847,0.2535,0.1688,0.0961,0.1811,0.085,0.1082,0.1549,0.0467,0.1106,0.2602,0.1496,0.1264,0.4495,0.3231,0.1436,0.2389,0.0953,0.1214,0.2141,0.0927,0.1296,0.1365,0.0069,0.0937,0.2299,0.1362,0.1024,0.3438,0.2414,0.0905
1,0.0916,0.2625,0.1709,0.0839,0.1647,0.0808,0.0729,0.3888,0.3159,0.0884,0.2821,0.1937,0.0803,0.4844,0.4041,0.1029,0.2512,0.1483,0.0731,0.0919,0.0188,0.137,0.1751,0.0381,0.0824,0.1777,0.0953,0.0908,0.3245,0.2337,0.0734
0,0.0789,0.1519,0.073,0.0507,0.1624,0.1117,0.0562,0.0855,0.0293,0.0607,0.414,0.3533,0.0399,0.3717,0.3318,0.0372,0.2639,0.2267,0.0489,0.0854,0.0365,0.089,0.154,0.065,0.0589,0.2075,0.1486,0.0884,0.254,0.1656,0.0715
1,0.0676,0.1858,0.1182,0.0562,0.1557,0.0995,0.075,0.1513,0.0763,0.0723,0.342,0.2697,0.0665,0.6189,0.5524,0.0924,0.2556,0.1632,0.0686,0.1252,0.0566,0.1227,0.1315,0.0088,0.0671,0.1624,0.0953,0.0998,0.3158,0.216,0.0718
1,0.1148,0.2987,0.1839,0.0832,0.1584,0.0752,0.0781,0.1235,0.0454,0.0723,0.218,0.1457,0.0634,0.3451,0.2817,0.1046,0.2408,0.1362,0.1338,0.1933,0.0595,0.1499,0.1779,0.028,0.1117,0.255,0.1433,0.0787,0.315,0.2363,0.0668
1,0.0882,0.6468,0.5586,0.0673,0.2581,0.1908,0.0739,0.2254,0.1515,0.0562,0.7185,0.6623,0.0462,0.455,0.4088,0.0916,0.2558,0.1642,0.0795,0.1398,0.0603,0.1246,0.1447,0.0201,0.0795,0.1763,0.0968,0.0866,0.3008,0.2142,0.0647
1,0.0615,0.2287,0.1672,0.0684,0.1874,0.119,0.0613,0.1474,0.0861,0.0832,0.2853,0.2021,0.0578,0.436,0.3782,0.1038,0.2458,0.142,0.1022,0.139,0.0368,0.133,0.1668,0.0338,0.0861,0.3822,0.2961,0.0686,0.3535,0.2849,0.0721
1,0.0892,0.386,0.2968,0.0879,0.2106,0.1227,0.0908,0.1531,0.0623,0.0755,0.3199,0.2444,0.0934,0.4941,0.4007,0.0892,0.2856,0.1964,0.1198,0.1687,0.0489,0.1533,0.2119,0.0586,0.1003,0.2328,0.1325,0.0758,0.3261,0.2503,0.0689
1,0.0911,0.338,0.2469,0.0731,0.1708,0.0977,0.0758,0.3429,0.2671,0.0715,0.3499,0.2784,0.0618,0.387,0.3252,0.0903,0.2796,0.1893,0.071,0.1014,0.0304,0.1729,0.2133,0.0404,0.075,0.2101,0.1351,0.0478,0.2696,0.2218,0.0589
0,0.0623,0.3937,0.3314,0.1609,0.1453,-0.0156,0.0673,0.2353,0.168,0.0807,0.3165,0.2358,0.0799,0.5641,0.4842,0.1501,0.5193,0.3692,0.1137,0.4999,0.3862,0.2226,0.5623,0.3397,0.0629,0.8326,0.7697,0.0665,0.3077,0.2412,0.0691
1,0.0813,0.2578,0.1765,0.0763,0.1373,0.061,0.066,0.1323,0.0663,0.0673,0.2578,0.1905,0.0568,0.3717,0.3149,0.0787,0.6857,0.607,0.1032,0.2226,0.1194,0.0932,0.126,0.0328,0.0789,0.2251,0.1462,0.0776,0.3015,0.2239,0.0642
0,0.0781,0.1213,0.0432,0.09,0.1233,0.0333,0.0367,0.0505,0.0138,0.0884,0.2407,0.1523,0.1169,0.3294,0.2125,0.0859,0.1983,0.1124,0.065,0.1495,0.0845,0.1062,0.0621,-0.0441,0.1202,0.0726,-0.0476,0.1212,0.5423,0.4211,0.1119
1,0.0652,0.1527,0.0875,0.0747,0.1278,0.0531,0.0647,0.1172,0.0525,0.0665,0.3892,0.3227,0.0657,0.4497,0.384,0.0803,0.2471,0.1668,0.0866,0.1112,0.0246,0.1204,0.154,0.0336,0.0892,0.1694,0.0802,0.1082,0.3005,0.1923,0.0555
0,0.1058,0.1004,-0.0054,0.0947,0.7086,0.6139,0.0805,0.1549,0.0744,0.0997,0.6878,0.5881,0.0884,0.261,0.1726,0.1005,0.8336,0.7331,0.1082,0.1558,0.0476,0.1092,0.1372,0.028,0.095,0.1907,0.0957,0.095,0.2297,0.1347,0.0741
0,0.0918,0.2573,0.1655,0.1517,0.2034,0.0517,0.0554,0.1108,0.0554,0.1282,0.3199,0.1917,0.0707,0.426,0.3553,0.1116,0.3588,0.2472,0.0931,0.0958,0.0027,0.1436,0.1396,-0.004,0.065,0.1671,0.1021,0.1029,0.333,0.2301,0.0968
0,0.09,0.0947,0.0047,0.1179,0.1251,0.0072,0.0876,0.0836,-0.004,0.1153,0.1762,0.0609,0.1105,0.2213,0.1108,0.1059,0.0869,-0.019,0.0829,0.1289,0.046,0.1161,0.0536,-0.0625,0.0678,0.1825,0.1147,0.1087,0.094,-0.0147,0.1087
0,0.0715,0.1178,0.0463,0.0715,0.1261,0.0546,0.0533,0.0847,0.0314,0.0673,0.3785,0.3112,0.0649,0.2992,0.2343,0.0818,0.1262,0.0444,0.0799,0.1425,0.0626,0.0928,0.091,-0.0018,0.0712,0.1506,0.0794,0.1,0.1977,0.0977,0.1203
1,0.0863,0.2351,0.1488,0.0679,0.1759,0.108,0.0676,0.175,0.1074,0.0861,0.3415,0.2554,0.0573,0.4577,0.4004,0.1259,0.2502,0.1243,0.1162,0.1049,-0.0113,0.1325,0.1724,0.0399,0.1127,0.175,0.0623,0.1309,0.5757,0.4448,0.0982
0,0.047,0.1962,0.1492,0.0628,0.1462,0.0834,0.0367,0.099,0.0623,0.0718,0.1652,0.0934,0.0736,0.3081,0.2345,0.1061,0.2601,0.154,0.061,0.5479,0.4869,0.0628,0.0689,0.0061,0.052,0.1461,0.0941,0.0657,0.3048,0.2391,0.0694
0,0.0741,0.2193,0.1452,0.1005,0.1346,0.0341,0.0881,0.1723,0.0842,0.0739,0.239,0.1651,0.1029,0.4737,0.3708,0.1525,0.166,0.0135,0.0934,0.1412,0.0478,0.0966,0.1143,0.0177,0.0923,0.2009,0.1086,0.096,0.2016,0.1056,0.0939
1,0.1246,0.3953,0.2707,0.0797,0.2016,0.1219,0.0795,0.1497,0.0702,0.0774,0.2307,0.1533,0.0623,0.4606,0.3983,0.0948,0.3529,0.2581,0.1193,0.192,0.0727,0.1278,0.2878,0.16,0.0869,0.2714,0.1845,0.113,0.4322,0.3192,0.0882
0,0.1412,0.1931,0.0519,0.15,0.1291,-0.0209,0.1624,0.1638,0.0014,0.1254,0.3085,0.1831,0.1088,0.3155,0.2067,0.146,0.1722,0.0262,0.1499,0.1299,-0.02,0.132,0.0956,-0.0364,0.147,0.1079,-0.0391,0.1383,0.4311,0.2928,0.1779
