user,train_session,threshold_strategy,threshold_value,balanced_accuracy,fmr,fnmr
s002,1,fixed,0.5,0.5,1.0,0.0
s002,2,fixed,0.5,0.6292,0.7416,0.0
s002,3,fixed,0.5,0.5,1.0,0.0
s002,4,fixed,0.5,0.5,1.0,0.0
s002,5,fixed,0.5,0.5778,0.8444,0.0
s002,6,fixed,0.5,0.6854,0.6292,0.0
s002,7,fixed,0.5,0.5816,0.8368,0.0
s003,1,fixed,0.5,0.5,1.0,0.0
s003,2,fixed,0.5,0.5048,0.9904,0.0
s003,3,fixed,0.5,0.6534,0.6932,0.0
s003,4,fixed,0.5,0.5,1.0,0.0
s003,5,fixed,0.5,0.5,1.0,0.0
s003,6,fixed,0.5,0.5,1.0,0.0
s003,7,fixed,0.5,0.5,1.0,0.0
s004,1,fixed,0.5,0.5,1.0,0.0
s004,2,fixed,0.5,0.5,1.0,0.0
s004,3,fixed,0.5,0.5752,0.8496,0.0
s004,4,fixed,0.5,0.5,1.0,0.0
s004,5,fixed,0.5,0.5,1.0,0.0
s004,6,fixed,0.5,0.5,1.0,0.0
s004,7,fixed,0.5,0.5,1.0,0.0
s005,1,fixed,0.5,0.5,1.0,0.0
s005,2,fixed,0.5,0.5,1.0,0.0
s005,3,fixed,0.5,0.5152,0.9696,0.0
s005,4,fixed,0.5,0.5398000000000001,0.9204,0.0
s005,5,fixed,0.5,0.5,1.0,0.0
s005,6,fixed,0.5,0.5,1.0,0.0
s005,7,fixed,0.5,0.6739999999999999,0.632,0.02
s007,1,fixed,0.5,0.546,0.908,0.0
s007,2,fixed,0.5,0.6064,0.7872,0.0
s007,3,fixed,0.5,0.6255999999999999,0.7488,0.0
s007,4,fixed,0.5,0.6152,0.7696,0.0
s007,5,fixed,0.5,0.5,1.0,0.0
s007,6,fixed,0.5,0.5924,0.8152,0.0
s007,7,fixed,0.5,0.5,1.0,0.0
s008,1,fixed,0.5,0.5,1.0,0.0
s008,2,fixed,0.5,0.5,1.0,0.0
s008,3,fixed,0.5,0.5,1.0,0.0
s008,4,fixed,0.5,0.5,1.0,0.0
s008,5,fixed,0.5,0.5024,0.9952,0.0
s008,6,fixed,0.5,0.5,1.0,0.0
s008,7,fixed,0.5,0.5,1.0,0.0
s010,1,fixed,0.5,0.5,1.0,0.0
s010,2,fixed,0.5,0.5,1.0,0.0
s010,3,fixed,0.5,0.5,1.0,0.0
s010,4,fixed,0.5,0.5,1.0,0.0
s010,5,fixed,0.5,0.5,1.0,0.0
s010,6,fixed,0.5,0.5,1.0,0.0
s010,7,fixed,0.5,0.7061999999999999,0.5876,0.0
s011,1,fixed,0.5,0.5528,0.8944,0.0
s011,2,fixed,0.5,0.5,1.0,0.0
s011,3,fixed,0.5,0.5,1.0,0.0
s011,4,fixed,0.5,0.5,1.0,0.0
s011,5,fixed,0.5,0.5416,0.9168,0.0
s011,6,fixed,0.5,0.6652,0.6496,0.02
